date,profile_id,month_year,year
2020-10-11,905,10-2020,2020
2020-10-12,2909,10-2020,2020
2020-10-13,3492,10-2020,2020
2020-10-14,3291,10-2020,2020
2020-10-15,3207,10-2020,2020
2020-10-16,2949,10-2020,2020
2020-10-17,1027,10-2020,2020
2020-10-18,1282,10-2020,2020
2020-10-19,3223,10-2020,2020
2020-10-20,4224,10-2020,2020
2020-10-21,3386,10-2020,2020
2020-10-22,4098,10-2020,2020
2020-10-23,2750,10-2020,2020
2020-10-24,1055,10-2020,2020
2020-10-25,1086,10-2020,2020
2020-10-26,2778,10-2020,2020
2020-10-27,4916,10-2020,2020
2020-10-28,3607,10-2020,2020
2020-10-29,3370,10-2020,2020
2020-10-30,2933,10-2020,2020
2020-10-31,909,10-2020,2020
2020-11-01,792,11-2020,2020
2020-11-02,2494,11-2020,2020
2020-11-03,3078,11-2020,2020
2020-11-04,2906,11-2020,2020
2020-11-05,3090,11-2020,2020
2020-11-06,2577,11-2020,2020
2020-11-07,1035,11-2020,2020
2020-11-08,940,11-2020,2020
2020-11-09,3013,11-2020,2020
2020-11-10,3085,11-2020,2020
2020-11-11,2902,11-2020,2020
2020-11-12,3224,11-2020,2020
2020-11-13,2957,11-2020,2020
2020-11-14,949,11-2020,2020
2020-11-15,999,11-2020,2020
2020-11-16,3015,11-2020,2020
2020-11-17,3386,11-2020,2020
2020-11-18,3323,11-2020,2020
2020-11-19,3098,11-2020,2020
2020-11-20,2732,11-2020,2020
2020-11-21,1203,11-2020,2020
2020-11-22,1469,11-2020,2020
2020-11-23,3392,11-2020,2020
2020-11-24,3116,11-2020,2020
2020-11-25,2572,11-2020,2020
2020-11-26,1902,11-2020,2020
2020-11-27,1757,11-2020,2020
2020-11-28,811,11-2020,2020
2020-11-29,949,11-2020,2020
2020-11-30,2530,11-2020,2020
2020-12-01,2761,12-2020,2020
2020-12-02,3007,12-2020,2020
2020-12-03,2895,12-2020,2020
2020-12-04,2310,12-2020,2020
2020-12-05,1083,12-2020,2020
2020-12-06,1537,12-2020,2020
2020-12-07,2380,12-2020,2020
2020-12-08,2551,12-2020,2020
2020-12-09,3099,12-2020,2020
2020-12-10,2821,12-2020,2020
2020-12-11,2331,12-2020,2020
2020-12-12,930,12-2020,2020
2020-12-13,828,12-2020,2020
2020-12-14,2206,12-2020,2020
2020-12-15,2786,12-2020,2020
2020-12-16,2565,12-2020,2020
2020-12-17,2496,12-2020,2020
2020-12-18,2034,12-2020,2020
2020-12-19,911,12-2020,2020
2020-12-20,1096,12-2020,2020
2020-12-21,1739,12-2020,2020
2020-12-22,1776,12-2020,2020
2020-12-23,1445,12-2020,2020
2020-12-24,822,12-2020,2020
2020-12-25,473,12-2020,2020
2020-12-26,644,12-2020,2020
2020-12-27,699,12-2020,2020
2020-12-28,1475,12-2020,2020
2020-12-29,1594,12-2020,2020
2020-12-30,1320,12-2020,2020
2020-12-31,968,12-2020,2020
2021-01-01,618,01-2021,2021
2021-01-02,848,01-2021,2021
2021-01-03,1016,01-2021,2021
2021-01-04,2269,01-2021,2021
2021-01-05,2656,01-2021,2021
2021-01-06,2599,01-2021,2021
2021-01-07,2482,01-2021,2021
2021-01-08,2530,01-2021,2021
2021-01-09,1059,01-2021,2021
2021-01-10,923,01-2021,2021
2021-01-11,3004,01-2021,2021
2021-01-12,3240,01-2021,2021
